ID,Station Name,Latitude,Longitude
1,ASTOR                ,35.357,74.8624
2,BADIN                ,24.6459,68.8467
3,BAHAWALNAGAR         ,29.9994,73.255
4,BAHAWALPUR           ,29.3544,71.6911
5,BALAKOT              ,34.5482,73.3532
6,BARKHAN              ,29.8995,69.5246
7,BUNJI                ,35.6431,74.6342
8,CHERAT               ,33.8215,71.8883
9,CHHOR                ,25.5114,69.7823
10,CHILAS               ,35.4222,74.0946
11,CHITRAL              ,35.7699,71.7741
12,DALBANDIN            ,28.8854,64.3964
13,DERA ISMAIL KHAN     ,31.8626,70.9019
14,DIR                  ,35.1977,71.8749
15,DROSH                ,35.5684,71.8038
16,FAISALABAD(LYALLPUR) ,31.4504,73.135
17,GARHI DUPATTA        ,34.2264,73.6157
18,GILGIT               ,35.9202,74.308
19,GUPIS                ,36.2274,73.4421
20,HYDERABAD            ,25.396,68.3578
21,ISLAMABAD            ,33.6844,73.0479
22,JACOBABAD            ,28.2437,68.3816
23,JHELUM               ,32.9425,73.7257
24,JIWANI               ,25.0538,61.7707
25,KAKUL                ,34.1875,73.2618
26,KALAT                ,29.0523,66.5879
27,KARACHI (AIRPORT)    ,24.9008,67.1681
28,KARACHI (MASROOR)    ,24.8936,66.9388
29,KHANPUR (PBO)        ,28.6459,70.656
30,KHUZDAR              ,27.8165,66.6057
31,KOHAT                ,33.5889,71.4429
32,KOTLI                ,33.5008,73.9007
33,LAHORE(AIRPORT)      ,31.5203,74.4104
34,LAHORE(PBO)          ,31.5216,74.4036
35,LARKANA              ,27.557,68.2028
36,LASBELLA             ,25.87,66.7129
37,MIANWALI             ,32.5839,71.537
38,MOEN-JO-DARO         ,27.3287,68.1372
39,MULTAN(PBO)          ,30.181459,71.492157
40,MURREE               ,33.907,73.3943
41,MUZAFFARABAD         ,34.3551,73.4769
42,NAWABSHAH            ,26.2447,68.3935
43,NOKKUNDI             ,28.8259,62.75
44,ORMARA               ,25.2666,64.6096
45,PADIDAN              ,26.7724,68.2922
46,PANJGUR              ,26.9706,64.0887
47,PARACHINAR           ,33.9011,70.086
48,PASNI                ,25.251,63.4154
49,PESHAWAR             ,34.0151,71.5249
50,QUETTA               ,30.1798,66.975
51,RAFIQUE(PAF)         ,30.7553,72.2803
52,RISALPUR             ,34.0751,71.9876
53,ROHRI                ,27.6687,68.8943
54,SAIDU SHARIF         ,34.7492,72.3563
55,SARGODHA             ,32.074,72.6861
56,SHARA-E-FAISAL       ,24.861027,67.069544
57,SIALKOT              ,32.4945,74.5229
58,SIBBI                ,29.5532,67.8808
59,SKARDU(PBO)          ,35.3275,75.5489
60,TURBAT               ,26.0081,63.0383
61,ZHOB(PBO)            ,31.3497,69.4482
